,CD_GEOCODM,NM_MUNICIP,LONG,LAT,ALT,geopoint
0,110001,ALTA FLORESTA D'OESTE,"-61,9998238962936","-11,9355403047646","337,735719","-11.9355403047646,-61.9998238962936"
1,110002,ARIQUEMES,"-63,0332692780484","-9,9084628665672","138,688981","-9.9084628665672,-63.0332692780484"
2,110003,CABIXI,"-60,5443135812009","-13,4997634596963","236,06316","-13.4997634596963,-60.5443135812009"
3,110004,CACOAL,"-61,4429442118224","-11,4338650286852","177,453547","-11.4338650286852,-61.4429442118224"
4,110005,CEREJEIRAS,"-60,8184261646815","-13,1950330320399","262,811307","-13.1950330320399,-60.8184261646815"
5,110006,COLORADO DO OESTE,"-60,5550674630789","-13,1305638414553","419,090613","-13.1305638414553,-60.5550674630789"
6,110007,CORUMBIARA,"-60,9487011706614","-12,9975202364834","269,171178","-12.9975202364834,-60.9487011706614"
7,110008,COSTA MARQUES,"-64,2316539391172","-12,4360138777142","145,213903","-12.4360138777142,-64.2316539391172"
8,110009,ESPIG�O D'OESTE,"-61,0201731132847","-11,5285546333473","262,527225","-11.5285546333473,-61.0201731132847"
9,110010,GUAJAR�-MIRIM,"-65,3239518196923","-10,7738837406705","133,414381","-10.7738837406705,-65.3239518196923"
10,110011,JARU,"-62,4762307081317","-10,4359487678844","162,551328","-10.4359487678844,-62.4762307081317"
11,110012,JI-PARAN�,"-61,9450945826841","-10,882051318349","157,262673","-10.882051318349,-61.9450945826841"
12,110013,MACHADINHO D'OESTE,"-61,9995925724466","-9,42556248","144,19909","-9.42556248,-61.9995925724466"
13,110014,NOVA BRASIL�NDIA D'OESTE,"-62,308230163019","-11,7213254138559","259,417475","-11.7213254138559,-62.308230163019"
14,110015,OURO PRETO DO OESTE,"-62,2610551904363","-10,7235739008135","252,167649","-10.7235739008135,-62.2610551904363"
15,110018,PIMENTA BUENO,"-61,183665673642","-11,67753699","186,174033","-11.67753699,-61.183665673642"
16,110020,PORTO VELHO,"-63,8314456543611","-8,76889179","86,895415","-8.76889179,-63.8314456543611"
17,110025,PRESIDENTE M�DICI,"-61,9094386835298","-11,1732050162268","178,222375","-11.1732050162268,-61.9094386835298"
18,110026,RIO CRESPO,"-62,9000103659589","-9,70553670973949","124,322215","-9.70553670973949,-62.9000103659589"
19,110028,ROLIM DE MOURA,"-61,7857809351854","-11,7222589133808","226,711103","-11.7222589133808,-61.7857809351854"
20,110029,SANTA LUZIA D'OESTE,"-61,7733054630545","-11,908423332469","265,234157","-11.908423332469,-61.7733054630545"
21,110030,VILHENA,"-60,1385838660987","-12,7413734718029","595,093769","-12.7413734718029,-60.1385838660987"
22,110032,S�O MIGUEL DO GUAPOR�,"-62,7200634814364","-11,699489743806","191,082628","-11.699489743806,-62.7200634814364"
23,110033,NOVA MAMOR�,"-65,3291490231467","-10,4117712947002","150,930604","-10.4117712947002,-65.3291490231467"
24,110034,ALVORADA D'OESTE,"-62,2772748656972","-11,3441300234334","182,40013","-11.3441300234334,-62.2772748656972"
25,110037,ALTO ALEGRE DOS PARECIS,"-61,853077168603","-12,1317772245709","396,560544","-12.1317772245709,-61.853077168603"
26,110040,ALTO PARA�SO,"-63,3176294334976","-9,71666673807728","128,000112","-9.71666673807728,-63.3176294334976"
27,110045,BURITIS,"-63,8296787917565","-10,2098054072356","153,171166","-10.2098054072356,-63.8296787917565"
28,110050,NOVO HORIZONTE DO OESTE,"-61,9943876627606","-11,7097429200152","229,511705","-11.7097429200152,-61.9943876627606"
29,110060,CACAUL�NDIA,"-62,9031899345687","-10,3388728393928","161,056558","-10.3388728393928,-62.9031899345687"
30,110070,CAMPO NOVO DE ROND�NIA,"-63,6249914265426","-10,5684164693485","206,148936","-10.5684164693485,-63.6249914265426"
31,110080,CANDEIAS DO JAMARI,"-63,7000200718298","-8,78502070347748","84,750219","-8.78502070347748,-63.7000200718298"
32,110090,CASTANHEIRAS,"-61,9491611964662","-11,4268422254625","214,995394","-11.4268422254625,-61.9491611964662"
33,110092,CHUPINGUAIA,"-60,9018477499554","-12,5568407610938","340,299631","-12.5568407610938,-60.9018477499554"
34,110094,CUJUBIM,"-62,5871745319209","-9,37819339905712","110,959894","-9.37819339905712,-62.5871745319209"
35,110100,GOVERNADOR JORGE TEIXEIRA,"-62,7404576394632","-10,6120717726075","201,781008","-10.6120717726075,-62.7404576394632"
36,110110,ITAPU� DO OESTE,"-63,1823370165183","-9,19187167532785","98,95108","-9.19187167532785,-63.1823370165183"
37,110120,MINISTRO ANDREAZZA,"-61,5189219301054","-11,1962379841591","266,291526","-11.1962379841591,-61.5189219301054"
38,110130,MIRANTE DA SERRA,"-62,6694270952566","-11,045609289937","211,815643","-11.045609289937,-62.6694270952566"
39,110140,MONTE NEGRO,"-63,2955591672175","-10,263097755883","155,400337","-10.263097755883,-63.2955591672175"
40,110143,NOVA UNI�O,"-62,55508939888","-10,9155320416628","241,493724","-10.9155320416628,-62.55508939888"
41,110145,PARECIS,"-61,5979979726776","-12,1798270507077","296,282838","-12.1798270507077,-61.5979979726776"
42,110146,PIMENTEIRAS DO OESTE,"-61,0443790025384","-13,4765620024615","170,255529","-13.4765620024615,-61.0443790025384"
43,110147,PRIMAVERA DE ROND�NIA,"-61,3165462429165","-11,8257069542468","244,567351","-11.8257069542468,-61.3165462429165"
44,110148,S�O FELIPE D'OESTE,"-61,5125081133327","-11,9143893546886","269,726767","-11.9143893546886,-61.5125081133327"
45,110149,S�O FRANCISCO DO GUAPOR�,"-63,5708647107649","-12,0637984122334","165,693726","-12.0637984122334,-63.5708647107649"
46,110150,SERINGUEIRAS,"-63,0387609977072","-11,767116635607","185,830878","-11.767116635607,-63.0387609977072"
47,110155,TEIXEIR�POLIS,"-62,2559222539546","-10,9321692860399","191,34936","-10.9321692860399,-62.2559222539546"
48,110160,THEOBROMA,"-62,3451455299349","-10,2487305520261","191,598548","-10.2487305520261,-62.3451455299349"
49,110170,URUP�,"-62,3706324537667","-11,1285452756794","197,170024","-11.1285452756794,-62.3706324537667"
50,110175,VALE DO ANARI,"-62,1768234421278","-9,85139270806179","157,665353","-9.85139270806179,-62.1768234421278"
51,110180,VALE DO PARA�SO,"-62,1343903568099","-10,4310526845565","153,994474","-10.4310526845565,-62.1343903568099"
52,120001,ACREL�NDIA,"-67,0523165800206","-10,0737938924635","205,894014","-10.0737938924635,-67.0523165800206"
53,120005,ASSIS BRASIL,"-69,5634591746677","-10,9428656809172","234,866835","-10.9428656809172,-69.5634591746677"
54,120010,BRASIL�IA,"-68,7479434259584","-11,0164110190858","188,324139","-11.0164110190858,-68.7479434259584"
55,120013,BUJARI,"-67,9518592792015","-9,82001962670938","198,174197","-9.82001962670938,-67.9518592792015"
56,120017,CAPIXABA,"-67,6735079719432","-10,5697677087928","212,303309","-10.5697677087928,-67.6735079719432"
57,120020,CRUZEIRO DO SUL,"-72,6725313174358","-7,63069000500981","183,079525","-7.63069000500981,-72.6725313174358"
58,120025,EPITACIOL�NDIA,"-68,7448680666749","-11,0282398279564","206,036126","-11.0282398279564,-68.7448680666749"
59,120030,FEIJ�,"-70,3539836082165","-8,16024753","159,822497","-8.16024753,-70.3539836082165"
60,120032,JORD�O,"-71,9508751248365","-9,19335785982848","264,977881","-9.19335785982848,-71.9508751248365"
61,120033,M�NCIO LIMA,"-72,9165010261308","-7,59322259385836","187,065998","-7.59322259385836,-72.9165010261308"
62,120034,MANOEL URBANO,"-69,2599445775075","-8,83631773689166","162,133821","-8.83631773689166,-69.2599445775075"
63,120035,MARECHAL THAUMATURGO,"-72,7902659086983","-8,95359112315366","214,910605","-8.95359112315366,-72.7902659086983"
64,120038,PL�CIDO DE CASTRO,"-67,1882600861516","-10,3351332827427","129,189484","-10.3351332827427,-67.1882600861516"
65,120039,PORTO WALTER,"-72,7423339648033","-8,26666636282753","201,805961","-8.26666636282753,-72.7423339648033"
66,120040,RIO BRANCO,"-67,8105287004235","-9,97829875272498","137,865746","-9.97829875272498,-67.8105287004235"
67,120042,RODRIGUES ALVES,"-72,6478549141997","-7,73360203372322","189,585426","-7.73360203372322,-72.6478549141997"
68,120043,SANTA ROSA DO PURUS,"-70,4864968937616","-9,44340653741185","216,72423","-9.44340653741185,-70.4864968937616"
69,120045,SENADOR GUIOMARD,"-67,7431723600051","-10,1481735861989","207,924797","-10.1481735861989,-67.7431723600051"
