UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO,POPULACAO_ESTIMADA,codibge
RO,11,00015,Alta Floresta D'Oeste,22516,110001
RO,11,00023,Ariquemes,111148,110002
RO,11,00031,Cabixi,5067,110003
RO,11,00049,Cacoal,86416,110004
RO,11,00056,Cerejeiras,16088,110005
RO,11,00064,Colorado do Oeste,15213,110006
RO,11,00072,Corumbiara,7052,110007
RO,11,00080,Costa Marques,19255,110008
RO,11,00098,Espigão D'Oeste,33009,110009
RO,11,00106,Guajará-Mirim,46930,110010
RO,11,00114,Jaru,51469,110011
RO,11,00122,Ji-Paraná,131026,110012
RO,11,00130,Machadinho D'Oeste,41724,110013
RO,11,00148,Nova Brasilândia D'Oeste,20504,110014
RO,11,00155,Ouro Preto do Oeste,35445,110015
RO,11,00189,Pimenta Bueno,37098,110018
RO,11,00205,Porto Velho,548952,110020
RO,11,00254,Presidente Médici,18165,110025
RO,11,00262,Rio Crespo,3843,110026
RO,11,00288,Rolim de Moura,55748,110028
RO,11,00296,Santa Luzia D'Oeste,5942,110029
RO,11,00304,Vilhena,104517,110030
RO,11,00320,São Miguel do Guaporé,23147,110032
RO,11,00338,Nova Mamoré,32184,110033
RO,11,00346,Alvorada D'Oeste,13807,110034
RO,11,00379,Alto Alegre dos Parecis,13268,110037
RO,11,00403,Alto Paraíso,22258,110040
RO,11,00452,Buritis,41043,110045
RO,11,00502,Novo Horizonte do Oeste,8125,110050
RO,11,00601,Cacaulândia,6307,110060
RO,11,00700,Campo Novo de Rondônia,14391,110070
RO,11,00809,Candeias do Jamari,28068,110080
RO,11,00908,Castanheiras,2923,110090
RO,11,00924,Chupinguaia,11755,110092
RO,11,00940,Cujubim,27131,110094
RO,11,01005,Governador Jorge Teixeira,7130,110100
RO,11,01104,Itapuã do Oeste,10819,110110
RO,11,01203,Ministro Andreazza,9461,110120
RO,11,01302,Mirante da Serra,10691,110130
RO,11,01401,Monte Negro,16158,110140
RO,11,01435,Nova União,6822,110143
RO,11,01450,Parecis,6319,110145
RO,11,01468,Pimenteiras do Oeste,2127,110146
RO,11,01476,Primavera de Rondônia,2697,110147
RO,11,01484,São Felipe D'Oeste,4962,110148
RO,11,01492,São Francisco do Guaporé,21088,110149
RO,11,01500,Seringueiras,11846,110150
RO,11,01559,Teixeirópolis,4160,110155
RO,11,01609,Theobroma,10348,110160
RO,11,01708,Urupá,11081,110170
RO,11,01757,Vale do Anari,11545,110175
RO,11,01807,Vale do Paraíso,6490,110180
AC,12,00013,Acrelândia,15721,120001
AC,12,00054,Assis Brasil,7649,120005
AC,12,00104,Brasiléia,27123,120010
AC,12,00138,Bujari,10572,120013
AC,12,00179,Capixaba,12280,120017
AC,12,00203,Cruzeiro do Sul,89760,120020
AC,12,00252,Epitaciolândia,18979,120025
AC,12,00302,Feijó,34986,120030
AC,12,00328,Jordão,8628,120032
AC,12,00336,Mâncio Lima,19643,120033
AC,12,00344,Manoel Urbano,9701,120034
AC,12,00351,Marechal Thaumaturgo,19727,120035
AC,12,00385,Plácido de Castro,20147,120038
AC,12,00393,Porto Walter,12497,120039
AC,12,00401,Rio Branco,419452,120040
AC,12,00427,Rodrigues Alves,19767,120042
AC,12,00435,Santa Rosa do Purus,6893,120043
AC,12,00450,Senador Guiomard,23446,120045
AC,12,00500,Sena Madureira,47168,120050
AC,12,00609,Tarauacá,43730,120060
AC,12,00708,Xapuri,19866,120070
AC,12,00807,Porto Acre,19141,120080
AM,13,00029,Alvarães,16396,130002
AM,13,00060,Amaturá,11934,130006
AM,13,00086,Anamã,14292,130008
AM,13,00102,Anori,21937,130010
AM,13,00144,Apuí,22739,130014
AM,13,00201,Atalaia do Norte,20868,130020
